"Date","Close","RSI rsi (14)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist"
"6/5/2022","23,220.0000","71.1871","98.4854","62.9919","35.4935"
"6/12/2022","23,263.0000","73.3626","105.2012","71.4338","33.7674"
"6/19/2022","23,290.0000","74.6565","111.4178","79.4306","31.9872"
"6/26/2022","23,345.0000","77.0971","119.4062","87.4257","31.9804"
"7/3/2022","23,377.0000","78.4005","126.8568","95.3119","31.5448"
"7/10/2022","23,455.0000","81.2076","137.4707","103.7437","33.7270"
"7/17/2022","23,405.0000","74.5216","140.2312","111.0412","29.1901"
"7/24/2022","23,340.0000","66.8196","135.6108","115.9551","19.6557"
"7/31/2022","23,390.0000","69.4364","134.4340","119.6509","14.7831"
"8/7/2022","23,397.0000","69.7955","132.5383","122.2284","10.3100"
"8/14/2022","23,405.0000","70.2262","130.1809","123.8189","6.3621"
"8/21/2022","23,417.0000","70.8964","127.8077","124.6166","3.1910"
"8/28/2022","23,455.0000","72.9713","127.5232","125.1980","2.3252"
"9/4/2022","23,520.0000","76.1090","131.0322","126.3648","4.6674"
"9/11/2022","23,655.0000","81.0336","143.0574","129.7033","13.3541"
"9/18/2022","23,705.0000","82.4745","154.8371","134.7301","20.1071"
"9/25/2022","23,860.0000","86.0201","174.6664","142.7173","31.9491"
"10/2/2022","23,880.0000","86.4024","189.8072","152.1353","37.6719"
"10/9/2022","24,115.0000","89.8978","218.2530","165.3588","52.8941"
"10/16/2022","24,825.0000","94.4989","294.6905","191.2252","103.4653"
"10/23/2022","24,825.0000","94.4989","351.2192","223.2240","127.9952"
"10/30/2022","24,875.0000","94.6962","395.4941","257.6780","137.8161"
"11/6/2022","24,810.0000","90.1688","420.4903","290.2405","130.2498"
"11/13/2022","24,805.0000","89.8131","434.8833","319.1690","115.7143"
"11/20/2022","24,765.0000","86.8609","438.0131","342.9379","95.0753"
"11/27/2022","24,355.0000","63.7354","402.7671","354.9037","47.8634"
"12/4/2022","23,555.0000","40.8706","306.7451","345.2720","-38.5269"
"12/11/2022","23,585.0000","41.7150","230.4117","322.2999","-91.8882"
"12/18/2022","23,564.0000","41.2707","166.3053","291.1010","-124.7957"
"12/25/2022","23,615.0000","42.8623","118.2527","256.5313","-138.2787"
"1/1/2023","23,465.0000","39.4738","67.2912","218.6833","-151.3921"
"1/8/2023","23,440.0000","38.9216","24.6029","179.8672","-155.2643"
"1/15/2023","23,443.0000","39.0318","-8.8834","142.1171","-151.0005"
"1/22/2023","23,465.0000","39.8886","-33.2628","107.0411","-140.3039"
"1/29/2023","23,445.0000","39.3472","-53.5799","74.9169","-128.4968"
"2/5/2023","23,570.0000","44.4239","-58.9158","48.1504","-107.0661"
"2/12/2023","23,815.0000","52.7684","-42.8807","29.9442","-72.8249"
"2/19/2023","23,785.0000","51.7439","-32.2221","17.5109","-49.7330"
"2/26/2023","23,705.0000","49.0112","-29.8859","8.0315","-37.9175"
"3/5/2023","23,665.0000","47.6560","-30.9059","0.2440","-31.1499"
"3/12/2023","23,575.0000","44.6636","-38.5323","-7.5112","-31.0211"
"3/19/2023","23,513.0000","42.6756","-49.0142","-15.8118","-33.2023"
"3/26/2023","23,460.0000","40.9957","-60.8958","-24.8286","-36.0672"
"4/2/2023","23,447.0000","40.5738","-70.5478","-33.9724","-36.5754"
"4/9/2023","23,443.0000","40.4359","-77.6251","-42.7030","-34.9221"
"4/16/2023","23,490.0000","42.8918","-78.5360","-49.8696","-28.6665"
"4/23/2023","23,455.0000","41.5189","-81.1468","-56.1250","-25.0218"
"4/30/2023","23,445.0000","41.1140","-83.0652","-61.5131","-21.5521"
"5/7/2023","23,453.0000","41.6047","-82.9835","-65.8071","-17.1763"
"5/14/2023","23,465.0000","42.3802","-81.0165","-68.8490","-12.1675"
"5/21/2023","23,480.0000","43.3922","-77.3555","-70.5503","-6.8052"
"5/28/2023","23,480.0000","43.3922","-73.6057","-71.1614","-2.4443"
"6/4/2023","23,475.0000","43.0996","-70.2279","-70.9747","0.7468"
"6/11/2023","23,525.0000","46.9523","-62.7925","-69.3383","6.5457"
"6/18/2023","23,520.0000","46.6124","-56.6504","-66.8007","10.1503"
"6/25/2023","23,580.0000","51.1797","-46.4062","-62.7218","16.3156"
"7/2/2023","23,640.0000","55.2980","-33.0650","-56.7904","23.7254"
"7/9/2023","23,635.0000","54.8825","-22.6346","-49.9593","27.3247"
"7/16/2023","23,660.0000","56.6369","-12.2103","-42.4095","30.1992"
"7/23/2023","23,690.0000","58.7117","-1.5108","-34.2297","32.7189"
"7/30/2023","23,730.0000","61.3660","10.0800","-25.3678","35.4478"
"8/6/2023","23,755.0000","62.9683","21.0406","-16.0861","37.1267"
"8/13/2023","23,810.0000","66.2816","33.7757","-6.1137","39.8894"
"8/20/2023","24,027.0000","75.5693","60.6789","7.2448","53.4341"
"8/27/2023","24,065.0000","76.7757","84.0968","22.6152","61.4816"
"9/3/2023","24,060.0000","76.2422","101.0869","38.3095","62.7774"
"9/10/2023","24,255.0000","81.6094","128.8018","56.4080","72.3938"
"9/17/2023","24,365.0000","83.8287","157.8229","76.6910","81.1319"
"9/24/2023","24,285.0000","76.5897","172.3799","95.8288","76.5511"
"10/1/2023","24,365.0000","78.5816","188.2022","114.3034","73.8988"
"10/8/2023","24,445.0000","80.3794","204.8357","132.4099","72.4258"
"10/15/2023","24,525.0000","82.0060","221.9150","150.3109","71.6041"
"10/22/2023","24,575.0000","82.9570","236.7560","167.5999","69.1560"
"10/29/2023","24,525.0000","78.4897","241.6968","182.4193","59.2775"
"11/5/2023","24,320.0000","63.4121","226.4602","191.2275","35.2327"
"11/12/2023","24,255.0000","59.5087","206.7567","194.3333","12.4234"
"11/19/2023","24,265.0000","59.9175","189.7610","193.4189","-3.6578"
"11/26/2023","24,293.0000","61.1016","176.5164","190.0384","-13.5219"
"12/3/2023","24,225.0000","56.7192","158.7035","183.7714","-25.0679"
"12/10/2023","24,265.0000","58.6002","146.1298","176.2431","-30.1132"
"12/17/2023","24,340.0000","61.9403","140.5963","169.1137","-28.5175"
"12/24/2023","24,265.0000","56.9888","128.6757","161.0261","-32.3504"
"12/31/2023","24,375.0000","61.8107","126.6448","154.1499","-27.5051"
"1/7/2024","24,495.0000","66.2552","133.1830","149.9565","-16.7735"
"1/14/2024","24,545.0000","67.9299","140.7764","148.1205","-7.3441"
"1/21/2024","24,600.0000","69.7107","149.5088","148.3981","1.1107"
"1/28/2024","24,340.0000","54.3474","133.9059","145.4997","-11.5938"
"2/4/2024","24,403.0000","56.8301","125.1810","141.4360","-16.2549"
"2/11/2024","24,515.0000","60.9009","125.8532","138.3194","-12.4662"
"2/18/2024","24,635.0000","64.7376","134.5183","137.5592","-3.0409"
"2/25/2024","24,645.0000","65.0454","140.5719","138.1617","2.4102"
"3/3/2024","24,645.0000","65.0454","143.7128","139.2720","4.4409"
"3/10/2024","24,715.0000","67.3587","150.1199","141.4416","8.6784"
"3/17/2024","24,775.0000","69.2379","158.2153","144.7963","13.4190"
"3/24/2024","24,815.0000","70.4589","165.9457","149.0262","16.9195"
"3/31/2024","24,955.0000","74.3034","181.2793","155.4768","25.8025"
"4/7/2024","25,020.0000","75.8733","196.4121","163.6639","32.7482"
"4/14/2024","25,450.0000","83.1900","240.3319","178.9975","61.3344"
"4/21/2024","25,333.0000","76.4008","262.6699","195.7319","66.9379"
"4/28/2024","25,324.0000","75.8878","276.4598","211.8775","64.5823"
"5/5/2024","25,455.0000","78.1842","294.5635","228.4147","66.1488"
"5/12/2024","25,452.0000","78.0010","305.1511","243.7620","61.3891"
"5/19/2024","25,470.0000","78.3291","311.4047","257.2905","54.1141"
"5/26/2024","25,445.0000","76.6197","310.7611","267.9846","42.7765"
"6/2/2024","25,405.0000","73.8431","303.5246","275.0926","28.4319"
"6/9/2024","25,455.0000","75.0598","298.3845","279.7510","18.6335"
"6/16/2024","25,455.0000","75.0598","290.9571","281.9922","8.9648"
"6/23/2024","25,449.0000","74.5770","281.3434","281.8625","-0.5190"
"6/30/2024","25,416.0000","71.8402","267.9727","279.0845","-11.1118"
"7/7/2024","25,415.0000","71.7543","254.3635","274.1403","-19.7768"
"7/14/2024","25,320.0000","63.9306","233.2239","265.9570","-32.7331"
"7/21/2024","25,305.0000","62.7669","212.8072","255.3270","-42.5199"
"7/28/2024","25,210.0000","55.8349","186.8076","241.6232","-54.8155"
"8/4/2024","25,095.0000","48.8077","155.1350","224.3255","-69.1906"
"8/11/2024","25,055.0000","46.6104","125.3614","204.5327","-79.1713"
"8/18/2024","24,970.0000","42.2567","93.8253","182.3912","-88.5659"
"8/25/2024","24,865.0000","37.5863","59.6722","157.8474","-98.1752"
"9/1/2024","24,605.0000","29.0302","11.4933","128.5766","-117.0833"
"9/8/2024","24,515.0000","26.7594","-33.5641","96.1485","-129.7126"
"9/15/2024","24,555.0000","29.4026","-65.2921","63.8603","-129.1525"
"9/22/2024","24,615.0000","33.2914","-84.6199","34.1643","-118.7842"
"9/29/2024","24,745.0000","40.8891","-88.4280","9.6458","-98.0739"
"10/6/2024","24,810.0000","44.3047","-85.2187","-9.3271","-75.8916"
"10/13/2024","25,155.0000","58.1330","-54.2117","-18.3040","-35.9077"
"10/20/2024","25,360.0000","63.8728","-12.9475","-17.2327","4.2852"
"10/27/2024","25,285.0000","60.5995","13.5467","-11.0768","24.6235"
"11/3/2024","25,265.0000","59.7206","32.5545","-2.3506","34.9050"
"11/10/2024","25,385.0000","63.1720","56.6483","9.4492","47.1990"
"11/17/2024","25,425.0000","64.2710","78.0705","23.1735","54.8970"
"11/24/2024","25,348.0000","60.5266","87.8221","36.1032","51.7189"
"12/1/2024","25,380.0000","61.5297","97.0141","48.2854","48.7288"
"12/8/2024","25,405.0000","62.3349","105.1046","59.6492","45.4554"
"12/15/2024","25,450.0000","63.8037","113.8353","70.4864","43.3489"
"12/22/2024","25,450.0000","63.8037","119.3783","80.2648","39.1135"
"12/29/2024","25,405.0000","61.0430","118.7709","87.9660","30.8049"
"1/5/2025","25,365.0000","58.6153","113.7506","93.1229","20.6277"
"1/12/2025","25,320.0000","55.9208","104.9313","95.4846","9.4467"
