"Date","Close","RSI rsi (14)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist"
"4/24/2022","4.3462","75.2031","0.0248","0.0094","0.0154"
"5/1/2022","4.3630","76.7297","0.0325","0.0140","0.0185"
"5/8/2022","4.3880","78.8194","0.0402","0.0192","0.0210"
"5/15/2022","4.3890","78.9010","0.0458","0.0246","0.0213"
"5/22/2022","4.3793","75.8479","0.0490","0.0294","0.0195"
"5/29/2022","4.3941","77.2917","0.0520","0.0340","0.0181"
"6/5/2022","4.4004","77.8975","0.0544","0.0380","0.0163"
"6/12/2022","4.4005","77.9075","0.0556","0.0415","0.0140"
"6/19/2022","4.3990","77.3381","0.0557","0.0444","0.0114"
"6/26/2022","4.4082","78.3817","0.0560","0.0467","0.0093"
"7/3/2022","4.4275","80.4189","0.0571","0.0488","0.0083"
"7/10/2022","4.4503","82.5151","0.0591","0.0508","0.0083"
"7/17/2022","4.4565","83.0466","0.0605","0.0528","0.0077"
"7/24/2022","4.4495","80.0867","0.0604","0.0543","0.0061"
"7/31/2022","4.4543","80.5973","0.0600","0.0554","0.0045"
"8/7/2022","4.4460","76.9238","0.0583","0.0560","0.0023"
"8/14/2022","4.4742","80.2222","0.0586","0.0565","0.0020"
"8/21/2022","4.4706","78.6761","0.0578","0.0568","0.0010"
"8/28/2022","4.4790","79.6611","0.0572","0.0569","0.0004"
"9/4/2022","4.4985","81.7666","0.0577","0.0570","0.0007"
"9/11/2022","4.5463","85.6799","0.0612","0.0579","0.0033"
"9/18/2022","4.5795","87.6608","0.0659","0.0595","0.0064"
"9/25/2022","4.6475","90.5456","0.0743","0.0624","0.0118"
"10/2/2022","4.6521","90.7039","0.0804","0.0660","0.0143"
"10/9/2022","4.7065","92.3380","0.0885","0.0705","0.0180"
"10/16/2022","4.7385","93.1058","0.0965","0.0757","0.0208"
"10/23/2022","4.7225","88.3395","0.1003","0.0806","0.0197"
"10/30/2022","4.7403","89.0133","0.1036","0.0852","0.0184"
"11/6/2022","4.6275","63.8375","0.0960","0.0874","0.0086"
"11/13/2022","4.5405","51.6935","0.0820","0.0863","-0.0043"
"11/20/2022","4.4817","45.4065","0.0655","0.0822","-0.0167"
"11/27/2022","4.3920","37.8449","0.0446","0.0746","-0.0301"
"12/4/2022","4.4035","39.2419","0.0286","0.0654","-0.0368"
"12/11/2022","4.4238","41.7315","0.0174","0.0558","-0.0384"
"12/18/2022","4.4246","41.8326","0.0085","0.0464","-0.0379"
"12/25/2022","4.3800","37.8841","-0.0022","0.0367","-0.0388"
"1/1/2023","4.4035","41.0419","-0.0086","0.0276","-0.0362"
"1/8/2023","4.3345","35.3581","-0.0191","0.0183","-0.0373"
"1/15/2023","4.2855","31.9719","-0.0309","0.0084","-0.0394"
"1/22/2023","4.2427","29.3298","-0.0433","-0.0019","-0.0414"
"1/29/2023","4.2627","32.1514","-0.0509","-0.0117","-0.0392"
"2/5/2023","4.3355","41.3335","-0.0505","-0.0195","-0.0310"
"2/12/2023","4.4275","50.4582","-0.0422","-0.0240","-0.0182"
"2/19/2023","4.4390","51.4742","-0.0344","-0.0261","-0.0083"
"2/26/2023","4.4656","53.8326","-0.0257","-0.0260","0.0003"
"3/5/2023","4.5030","56.9973","-0.0156","-0.0239","0.0083"
"3/12/2023","4.4742","53.9315","-0.0098","-0.0211","0.0113"
"3/19/2023","4.4275","49.3008","-0.0089","-0.0187","0.0097"
"3/26/2023","4.4153","48.1380","-0.0091","-0.0168","0.0077"
"4/2/2023","4.4025","46.8884","-0.0101","-0.0154","0.0053"
"4/9/2023","4.4070","47.4053","-0.0105","-0.0144","0.0040"
"4/16/2023","4.4400","51.1592","-0.0080","-0.0131","0.0052"
"4/23/2023","4.4541","52.7123","-0.0048","-0.0115","0.0067"
"4/30/2023","4.4365","50.5515","-0.0037","-0.0099","0.0062"
"5/7/2023","4.4835","55.7661","0.0010","-0.0077","0.0087"
"5/14/2023","4.5384","60.9468","0.0090","-0.0044","0.0134"
"5/21/2023","4.5985","65.6849","0.0200","0.0005","0.0195"
"5/28/2023","4.5765","62.6867","0.0266","0.0057","0.0209"
"6/4/2023","4.6143","65.5927","0.0345","0.0115","0.0230"
"6/11/2023","4.6130","65.4041","0.0402","0.0172","0.0230"
"6/18/2023","4.6660","69.2830","0.0484","0.0235","0.0250"
"6/25/2023","4.6672","69.3667","0.0544","0.0297","0.0248"
"7/2/2023","4.6642","68.8613","0.0583","0.0354","0.0229"
"7/9/2023","4.5262","50.5969","0.0496","0.0382","0.0114"
"7/16/2023","4.5585","53.6928","0.0448","0.0395","0.0053"
"7/23/2023","4.5545","53.2477","0.0402","0.0397","0.0006"
"7/30/2023","4.5545","53.2477","0.0362","0.0390","-0.0028"
"8/6/2023","4.5865","56.5862","0.0352","0.0382","-0.0030"
"8/13/2023","4.6520","62.4904","0.0392","0.0384","0.0008"
"8/20/2023","4.6490","62.0740","0.0417","0.0391","0.0026"
"8/27/2023","4.6457","61.5879","0.0428","0.0398","0.0030"
"9/3/2023","4.6840","65.0127","0.0463","0.0411","0.0052"
"9/10/2023","4.6834","64.9151","0.0485","0.0426","0.0059"
"9/17/2023","4.6877","65.3171","0.0500","0.0441","0.0059"
"9/24/2023","4.6949","66.0193","0.0512","0.0455","0.0057"
"10/1/2023","4.7108","67.5802","0.0528","0.0470","0.0058"
"10/8/2023","4.7282","69.2451","0.0548","0.0485","0.0063"
"10/15/2023","4.7650","72.4658","0.0587","0.0506","0.0082"
"10/22/2023","4.7775","73.4816","0.0621","0.0529","0.0092"
"10/29/2023","4.7275","63.4049","0.0601","0.0543","0.0058"
"11/5/2023","4.7086","60.0526","0.0563","0.0547","0.0016"
"11/12/2023","4.6716","54.0300","0.0497","0.0537","-0.0040"
"11/19/2023","4.6816","55.3338","0.0448","0.0519","-0.0071"
"11/26/2023","4.6709","53.5826","0.0396","0.0495","-0.0099"
"12/3/2023","4.6804","54.9460","0.0358","0.0467","-0.0109"
"12/10/2023","4.6725","53.5377","0.0318","0.0438","-0.0119"
"12/17/2023","4.6195","45.1732","0.0241","0.0398","-0.0157"
"12/24/2023","4.5875","41.0073","0.0152","0.0349","-0.0197"
"12/31/2023","4.6474","50.2550","0.0129","0.0305","-0.0176"
"1/7/2024","4.6462","50.0856","0.0108","0.0266","-0.0158"
"1/14/2024","4.7165","58.8387","0.0146","0.0242","-0.0095"
"1/21/2024","4.7265","59.9155","0.0183","0.0230","-0.0047"
"1/28/2024","4.7165","58.2737","0.0201","0.0224","-0.0023"
"2/4/2024","4.7621","63.2225","0.0250","0.0229","0.0021"
"2/11/2024","4.7793","64.9129","0.0299","0.0243","0.0056"
"2/18/2024","4.7765","64.3940","0.0332","0.0261","0.0071"
"2/25/2024","4.7455","58.7909","0.0329","0.0275","0.0054"
"3/3/2024","4.6862","49.8544","0.0276","0.0275","0.0001"
"3/10/2024","4.7035","52.1400","0.0244","0.0269","-0.0024"
"3/17/2024","4.7367","56.2603","0.0244","0.0264","-0.0020"
"3/24/2024","4.7240","54.3334","0.0230","0.0257","-0.0027"
"3/31/2024","4.7463","57.1111","0.0235","0.0253","-0.0018"
"4/7/2024","4.7703","59.9357","0.0255","0.0253","0.0002"
"4/14/2024","4.7835","61.4398","0.0278","0.0258","0.0020"
"4/21/2024","4.7680","58.6551","0.0281","0.0263","0.0018"
"4/28/2024","4.7396","53.8400","0.0258","0.0262","-0.0004"
"5/5/2024","4.7392","53.7730","0.0236","0.0257","-0.0021"
"5/12/2024","4.6877","45.8645","0.0175","0.0240","-0.0065"
"5/19/2024","4.7089","49.1781","0.0142","0.0221","-0.0078"
"5/26/2024","4.7070","48.8893","0.0113","0.0199","-0.0086"
"6/2/2024","4.6940","46.8614","0.0079","0.0175","-0.0096"
"6/9/2024","4.7179","50.8942","0.0070","0.0154","-0.0084"
"6/16/2024","4.7130","50.0554","0.0059","0.0135","-0.0076"
"6/23/2024","4.7174","50.8389","0.0053","0.0119","-0.0066"
"6/30/2024","4.7090","49.2505","0.0041","0.0103","-0.0062"
"7/7/2024","4.6695","42.5225","-0.0001","0.0082","-0.0083"
"7/14/2024","4.6875","46.1337","-0.0019","0.0062","-0.0081"
"7/21/2024","4.6570","41.3886","-0.0057","0.0038","-0.0095"
"7/28/2024","4.4968","26.1655","-0.0214","-0.0012","-0.0202"
"8/4/2024","4.4222","22.0908","-0.0395","-0.0089","-0.0306"
"8/11/2024","4.4321","23.7870","-0.0523","-0.0176","-0.0348"
"8/18/2024","4.3757","20.9841","-0.0663","-0.0273","-0.0390"
"8/25/2024","4.3207","18.6734","-0.0809","-0.0380","-0.0429"
"9/1/2024","4.3322","20.6412","-0.0905","-0.0485","-0.0420"
"9/8/2024","4.3022","19.3274","-0.0994","-0.0587","-0.0407"
"9/15/2024","4.2043","15.7944","-0.1130","-0.0696","-0.0435"
"9/22/2024","4.1250","13.6222","-0.1288","-0.0814","-0.0473"
"9/29/2024","4.2195","26.5804","-0.1321","-0.0915","-0.0405"
"10/6/2024","4.2882","34.2972","-0.1277","-0.0988","-0.0289"
"10/13/2024","4.3045","36.0156","-0.1215","-0.1033","-0.0182"
"10/20/2024","4.3421","39.9191","-0.1122","-0.1051","-0.0071"
"10/27/2024","4.3792","43.5768","-0.1008","-0.1042","0.0035"
"11/3/2024","4.3827","43.9236","-0.0903","-0.1015","0.0111"
"11/10/2024","4.4760","52.3350","-0.0737","-0.0959","0.0222"
"11/17/2024","4.4687","51.6818","-0.0604","-0.0888","0.0284"
"11/24/2024","4.4450","49.5208","-0.0512","-0.0813","0.0301"
"12/1/2024","4.4195","47.2324","-0.0454","-0.0741","0.0287"
"12/8/2024","4.4500","50.1969","-0.0380","-0.0669","0.0289"
"12/15/2024","4.5080","55.3356","-0.0271","-0.0589","0.0319"
"12/22/2024","4.4720","51.7654","-0.0211","-0.0514","0.0303"
"12/29/2024","4.5005","54.2803","-0.0139","-0.0439","0.0300"
"1/5/2025","4.4977","53.9825","-0.0083","-0.0367","0.0285"
"1/12/2025","4.5060","54.7746","-0.0032","-0.0300","0.0269"
