"Date","Close","RSI rsi (14)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist"
"5/15/2022","1.3813","60.4465","0.0078","0.0045","0.0033"
"5/22/2022","1.3695","52.9982","0.0071","0.0050","0.0020"
"5/29/2022","1.3759","56.1472","0.0069","0.0054","0.0015"
"6/5/2022","1.3873","61.1669","0.0076","0.0058","0.0018"
"6/12/2022","1.3903","62.3800","0.0083","0.0063","0.0020"
"6/19/2022","1.3862","59.6228","0.0084","0.0067","0.0017"
"6/26/2022","1.3980","64.4919","0.0094","0.0073","0.0021"
"7/3/2022","1.3980","64.4958","0.0100","0.0078","0.0022"
"7/10/2022","1.3991","64.9266","0.0105","0.0084","0.0021"
"7/17/2022","1.3863","55.9735","0.0097","0.0086","0.0011"
"7/24/2022","1.3819","53.2053","0.0087","0.0086","0"
"7/31/2022","1.3824","53.5051","0.0078","0.0085","-0.0007"
"8/7/2022","1.3722","47.3142","0.0062","0.0080","-0.0018"
"8/14/2022","1.3917","57.4183","0.0064","0.0077","-0.0013"
"8/21/2022","1.3928","57.9263","0.0066","0.0075","-0.0009"
"8/28/2022","1.3993","60.7940","0.0072","0.0074","-0.0002"
"9/4/2022","1.3994","60.8338","0.0076","0.0074","0.0001"
"9/11/2022","1.4072","64.2168","0.0084","0.0076","0.0008"
"9/18/2022","1.4278","71.2957","0.0106","0.0082","0.0024"
"9/25/2022","1.4349","73.2772","0.0128","0.0092","0.0037"
"10/2/2022","1.4307","70.2123","0.0140","0.0101","0.0039"
"10/9/2022","1.4256","66.5456","0.0144","0.0110","0.0034"
"10/16/2022","1.4220","64.0284","0.0143","0.0116","0.0026"
"10/23/2022","1.4122","57.6427","0.0132","0.0120","0.0013"
"10/30/2022","1.4060","54.0049","0.0117","0.0119","-0.0002"
"11/6/2022","1.3750","40.1815","0.0080","0.0111","-0.0031"
"11/13/2022","1.3731","39.5121","0.0048","0.0099","-0.0051"
"11/20/2022","1.3759","41.1106","0.0025","0.0084","-0.0059"
"11/27/2022","1.3546","33.9716","-0.0011","0.0065","-0.0076"
"12/4/2022","1.3516","33.0900","-0.0041","0.0044","-0.0085"
"12/11/2022","1.3589","37.2924","-0.0058","0.0023","-0.0082"
"12/18/2022","1.3504","34.5872","-0.0078","0.0003","-0.0081"
"12/25/2022","1.3409","31.7724","-0.0100","-0.0018","-0.0083"
"1/1/2023","1.3390","31.2341","-0.0118","-0.0038","-0.0080"
"1/8/2023","1.3206","26.4971","-0.0145","-0.0059","-0.0086"
"1/15/2023","1.3200","26.3708","-0.0165","-0.0080","-0.0085"
"1/22/2023","1.3127","24.6556","-0.0185","-0.0101","-0.0084"
"1/29/2023","1.3204","29.8135","-0.0192","-0.0119","-0.0073"
"2/5/2023","1.3301","35.7866","-0.0188","-0.0133","-0.0055"
"2/12/2023","1.3375","39.9869","-0.0176","-0.0142","-0.0035"
"2/19/2023","1.3485","45.6801","-0.0157","-0.0145","-0.0012"
"2/26/2023","1.3470","45.0530","-0.0141","-0.0144","0.0003"
"3/5/2023","1.3498","46.5235","-0.0124","-0.0140","0.0016"
"3/12/2023","1.3414","42.8008","-0.0117","-0.0135","0.0019"
"3/19/2023","1.3323","39.1543","-0.0117","-0.0132","0.0015"
"3/26/2023","1.3298","38.1916","-0.0117","-0.0129","0.0011"
"4/2/2023","1.3315","39.2974","-0.0115","-0.0126","0.0011"
"4/9/2023","1.3312","39.1833","-0.0112","-0.0123","0.0011"
"4/16/2023","1.3351","41.8884","-0.0106","-0.0120","0.0014"
"4/23/2023","1.3337","41.1749","-0.0101","-0.0116","0.0015"
"4/30/2023","1.3256","37.2287","-0.0102","-0.0113","0.0011"
"5/7/2023","1.3379","45.7429","-0.0092","-0.0109","0.0017"
"5/14/2023","1.3445","49.6810","-0.0078","-0.0103","0.0025"
"5/21/2023","1.3538","54.6850","-0.0058","-0.0094","0.0036"
"5/28/2023","1.3478","51.1489","-0.0047","-0.0084","0.0037"
"6/4/2023","1.3433","48.6301","-0.0041","-0.0076","0.0034"
"6/11/2023","1.3377","45.6107","-0.0041","-0.0069","0.0028"
"6/18/2023","1.3530","54.0282","-0.0028","-0.0061","0.0033"
"6/25/2023","1.3533","54.1931","-0.0017","-0.0052","0.0035"
"7/2/2023","1.3471","50.4824","-0.0014","-0.0044","0.0031"
"7/9/2023","1.3198","38.2384","-0.0032","-0.0042","0.0010"
"7/16/2023","1.3306","44.0235","-0.0038","-0.0041","0.0003"
"7/23/2023","1.3313","44.4184","-0.0042","-0.0041","0"
"7/30/2023","1.3380","47.8880","-0.0038","-0.0041","0.0002"
"8/6/2023","1.3521","54.3686","-0.0024","-0.0037","0.0013"
"8/13/2023","1.3556","55.8520","-0.0010","-0.0032","0.0022"
"8/20/2023","1.3564","56.1995","0.0002","-0.0025","0.0027"
"8/27/2023","1.3542","54.9021","0.0009","-0.0018","0.0027"
"9/3/2023","1.3648","59.6842","0.0023","-0.0010","0.0033"
"9/10/2023","1.3626","58.2952","0.0032","-0.0002","0.0034"
"9/17/2023","1.3645","59.1710","0.0041","0.0007","0.0034"
"9/24/2023","1.3655","59.6560","0.0048","0.0015","0.0033"
"10/1/2023","1.3649","59.2060","0.0052","0.0022","0.0029"
"10/8/2023","1.3705","62.0901","0.0059","0.0030","0.0029"
"10/15/2023","1.3713","62.4865","0.0065","0.0037","0.0028"
