"Date","Price","Open","High","Low","Vol.","Change %"
"19/10/2025","0.06025500","0.06033000","0.06040500","0.06005000","","-0.09%"
"12/10/2025","0.06031000","0.06031000","0.06042000","0.06023500","","-0.18%"
"05/10/2025","0.06042000","0.06039000","0.06056500","0.06015000","","-0.08%"
"28/09/2025","0.06047000","0.06002000","0.06049500","0.05985500","","1.17%"
"21/09/2025","0.05977000","0.06015000","0.06032500","0.05951500","","-0.83%"
"14/09/2025","0.06027000","0.06090500","0.06112000","0.06027000","","-1.29%"
"07/09/2025","0.06105500","0.06102500","0.06136500","0.06059000","","0.26%"
"31/08/2025","0.06089500","0.06069500","0.06102000","0.06059000","","0.42%"
"24/08/2025","0.06064000","0.06155500","0.06158500","0.06060000","","-0.91%"
"17/08/2025","0.06119500","0.06188000","0.06188000","0.06111500","","-1.11%"
"10/08/2025","0.06188000","0.06152500","0.06216500","0.06116500","","0.81%"
"03/08/2025","0.06138000","0.06087500","0.06144000","0.06087500","","1.22%"
"27/07/2025","0.06064000","0.06125000","0.06127000","0.06054500","","-1.06%"
"20/07/2025","0.06129000","0.06128500","0.06150500","0.06119500","","-0.15%"
"13/07/2025","0.06138000","0.06163000","0.06166000","0.06118500","","-0.49%"
"06/07/2025","0.06168500","0.06168500","0.06170500","0.06143000","","-0.15%"
"29/06/2025","0.06178000","0.06167500","0.06187000","0.06150500","","0.11%"
"22/06/2025","0.06171000","0.06114000","0.06175000","0.06061000","","1.11%"
"15/06/2025","0.06103000","0.06131500","0.06150000","0.06092000","","-0.54%"
"08/06/2025","0.06136000","0.06144000","0.06167000","0.06130000","","-0.13%"
"01/06/2025","0.06144000","0.06127000","0.06155000","0.06120500","","0.10%"
"25/05/2025","0.06138000","0.06178000","0.06189500","0.06130000","","-0.45%"
"18/05/2025","0.06166000","0.06073000","0.06167000","0.06067500","","1.38%"
"11/05/2025","0.06082000","0.06054500","0.06100000","0.06026500","","0.45%"
"04/05/2025","0.06054500","0.06093500","0.06106500","0.06031500","","-0.48%"
"27/04/2025","0.06084000","0.05939500","0.06088000","0.05928000","","2.40%"
"20/04/2025","0.05941500","0.05943000","0.05953500","0.05921000","","-0.03%"
"13/04/2025","0.05943000","0.05956500","0.05969500","0.05932500","","-0.18%"
"06/04/2025","0.05953500","0.06038000","0.06038000","0.05891500","","-1.37%"
"30/03/2025","0.06036000","0.06038000","0.06038000","0.06038000","","0.00%"
"23/03/2025","0.06036000","0.06062000","0.06062000","0.06007500","","-0.36%"
"16/03/2025","0.06058000","0.06125000","0.06128500","0.06044500","","-0.92%"
"09/03/2025","0.06114000","0.06136500","0.06140000","0.06071000","","-0.33%"
"02/03/2025","0.06134000","0.06045500","0.06149500","0.06043500","","1.74%"
"23/02/2025","0.06029000","0.06130500","0.06146000","0.06026000","","-1.66%"
"16/02/2025","0.06131000","0.06178000","0.06182500","0.06106500","","-0.28%"
"09/02/2025","0.06148000","0.06127000","0.06154000","0.06097000","","0.10%"
"02/02/2025","0.06142000","0.06097000","0.06146000","0.06070000","","0.45%"
"26/01/2025","0.06114435","0.06183145","0.06192870","0.06090975","","-1.09%"
"19/01/2025","0.06182000","0.06110000","0.06191500","0.06101500","","1.21%"
"12/01/2025","0.06108000","0.06154500","0.06161500","0.06101000","","-1.10%"
"05/01/2025","0.06176000","0.06172500","0.06200000","0.06146500","","0.03%"
"29/12/2024","0.06174000","0.06182000","0.06222500","0.06149000","","0.28%"
"22/12/2024","0.06157000","0.06179000","0.06201000","0.06149500","","-0.26%"
"15/12/2024","0.06173000","0.06247500","0.06252500","0.06126000","","-1.23%"
"08/12/2024","0.06250000","0.06307000","0.06316000","0.06249000","","-0.90%"
"01/12/2024","0.06307000","0.06301000","0.06316000","0.06258000","","-0.03%"
"24/11/2024","0.06309000","0.06297000","0.06315000","0.06273000","","0.19%"
"17/11/2024","0.06297000","0.06303000","0.06333000","0.06266500","","-0.13%"
"10/11/2024","0.06305000","0.06393500","0.06396500","0.06269000","","-1.16%"
"03/11/2024","0.06379000","0.06355000","0.06402500","0.06304000","","0.31%"
"27/10/2024","0.06359000","0.06371000","0.06379000","0.06337500","","-0.50%"
"20/10/2024","0.06391000","0.06467500","0.06482500","0.06389000","","-1.13%"
"13/10/2024","0.06464000","0.06414000","0.06474500","0.06404000","","0.72%"
"06/10/2024","0.06418000","0.06399500","0.06419000","0.06368000","","-0.57%"
"29/09/2024","0.06455000","0.06611000","0.06618000","0.06438000","","-2.33%"
"22/09/2024","0.06609000","0.06602000","0.06637500","0.06573000","","0.17%"
"15/09/2024","0.06598000","0.06505500","0.06635000","0.06503500","","1.65%"
"08/09/2024","0.06491000","0.06461500","0.06497000","0.06457500","","-0.23%"
"01/09/2024","0.06506000","0.06452500","0.06513500","0.06416500","","0.59%"
"25/08/2024","0.06468000","0.06518000","0.06537500","0.06432500","","0.23%"
"18/08/2024","0.06453000","0.06395500","0.06484500","0.06383500","","1.29%"
"11/08/2024","0.06371000","0.06273000","0.06403500","0.06255000","","1.50%"
"04/08/2024","0.06277000","0.06180000","0.06295500","0.06166500","","1.73%"
"28/07/2024","0.06170000","0.06138000","0.06174500","0.06122000","","0.55%"
"21/07/2024","0.06136000","0.06168500","0.06178000","0.06133500","","-0.62%"
"14/07/2024","0.06174000","0.06193500","0.06211000","0.06150500","","-0.34%"
"07/07/2024","0.06195000","0.06144000","0.06199000","0.06129000","","0.86%"
"30/06/2024","0.06142000","0.06115000","0.06146000","0.06087000","","0.61%"
"23/06/2024","0.06105000","0.06071000","0.06112000","0.06069000","","0.46%"
"16/06/2024","0.06077000","0.06095500","0.06117500","0.06066500","","-0.30%"
"09/06/2024","0.06095000","0.06147500","0.06154500","0.06090500","","-1.26%"
"02/06/2024","0.06173000","0.06151500","0.06176000","0.06136500","","0.36%"
"26/05/2024","0.06151000","0.06238000","0.06244000","0.06144000","","-1.60%"
"19/05/2024","0.06251000","0.06265000","0.06265000","0.06233000","","-0.22%"
"12/05/2024","0.06265000","0.06222000","0.06284000","0.06194500","","0.56%"
"05/05/2024","0.06230000","0.06255500","0.06257000","0.06213000","","0.24%"
"28/04/2024","0.06215000","0.06158000","0.06221000","0.06141000","","0.78%"
"21/04/2024","0.06167000","0.06165500","0.06193000","0.06152500","","0.28%"
"14/04/2024","0.06150000","0.06220500","0.06221500","0.06138000","","-0.88%"
"07/04/2024","0.06204630","0.06294060","0.06318695","0.06187620","","-1.65%"
"31/03/2024","0.06309000","0.06299000","0.06312000","0.06263000","","0.06%"
"24/03/2024","0.06305000","0.06335000","0.06339000","0.06291500","","-0.47%"
"17/03/2024","0.06335000","0.06399500","0.06400500","0.06333000","","-1.17%"
"10/03/2024","0.06410000","0.06422000","0.06427000","0.06392500","","-0.03%"
"03/03/2024","0.06412000","0.06367000","0.06421000","0.06338000","","0.71%"
"25/02/2024","0.06367000","0.06400500","0.06402000","0.06354500","","-0.67%"
"18/02/2024","0.06410000","0.06393000","0.06421000","0.06375000","","0.16%"
"11/02/2024","0.06400000","0.06393000","0.06431000","0.06378000","","0.11%"
"04/02/2024","0.06393000","0.06359000","0.06404000","0.06346000","","0.13%"
"28/01/2024","0.06385000","0.06324000","0.06391500","0.06315500","","1.04%"
"21/01/2024","0.06319000","0.06407000","0.06407000","0.06310000","","-1.30%"
"14/01/2024","0.06402000","0.06428000","0.06432500","0.06390000","","-0.40%"
"07/01/2024","0.06428000","0.06451000","0.06451000","0.06415000","","-0.23%"
"31/12/2023","0.06443000","0.06480500","0.06480500","0.06429000","","-0.77%"
"24/12/2023","0.06493000","0.06480500","0.06501500","0.06469000","","0.56%"
"17/12/2023","0.06457000","0.06433500","0.06461500","0.06415000","","0.06%"
"10/12/2023","0.06453000","0.06418000","0.06468000","0.06378000","","0.12%"
"03/12/2023","0.06445000","0.06482500","0.06486500","0.06433000","","-0.15%"
"26/11/2023","0.06455000","0.06434500","0.06511000","0.06426000","","0.51%"
"19/11/2023","0.06422000","0.06487500","0.06501500","0.06400500","","-0.48%"
"12/11/2023","0.06453000","0.06368000","0.06465000","0.06358000","","1.32%"
"05/11/2023","0.06369000","0.06412000","0.06447000","0.06364000","","0.22%"
"29/10/2023","0.06355000","0.06280000","0.06359500","0.06267500","","1.34%"
"22/10/2023","0.06271000","0.06297000","0.06316000","0.06262000","","-0.41%"
"15/10/2023","0.06297000","0.06367000","0.06369500","0.06293500","","-1.22%"
"08/10/2023","0.06375000","0.06395500","0.06395500","0.06352000","","-0.45%"
"01/10/2023","0.06404000","0.06454000","0.06454000","0.06390500","","-0.99%"
"24/09/2023","0.06468000","0.06501500","0.06501500","0.06433500","","-0.51%"
"17/09/2023","0.06501000","0.06507000","0.06509500","0.06488500","","-0.17%"
"10/09/2023","0.06512000","0.06514500","0.06525000","0.06496000","","-0.17%"
"03/09/2023","0.06523000","0.06560000","0.06572000","0.06515000","","-0.55%"
"27/08/2023","0.06559000","0.06537500","0.06572000","0.06527000","","0.37%"
"20/08/2023","0.06535000","0.06523000","0.06561000","0.06518500","","-0.08%"
"13/08/2023","0.06540000","0.06536500","0.06544000","0.06510000","","-0.46%"
"06/08/2023","0.06570000","0.06591500","0.06595500","0.06562000","","-0.29%"
"30/07/2023","0.06589000","0.06626500","0.06658000","0.06574000","","-0.50%"
"23/07/2023","0.06622000","0.06653000","0.06683500","0.06620000","","-0.47%"
"16/07/2023","0.06653000","0.06668500","0.06676000","0.06651500","","-0.46%"
"09/07/2023","0.06684000","0.06600000","0.06705000","0.06569000","","1.20%"
"02/07/2023","0.06605000","0.06664000","0.06672500","0.06601000","","-0.94%"
"25/06/2023","0.06668000","0.06664000","0.06672000","0.06647500","","0.01%"
"18/06/2023","0.06667000","0.06676500","0.06715500","0.06643000","","-0.39%"
"11/06/2023","0.06693000","0.06712000","0.06731500","0.06683000","","-0.64%"
"04/06/2023","0.06736000","0.06713000","0.06747000","0.06694000","","1.02%"
"28/05/2023","0.06668000","0.06681500","0.06702500","0.06658000","","-0.24%"
"21/05/2023","0.06684000","0.06708500","0.06732500","0.06678500","","-0.19%"
"14/05/2023","0.06697000","0.06760500","0.06765500","0.06681000","","-1.18%"
"07/05/2023","0.06777000","0.06816000","0.06818000","0.06768500","","-0.50%"
"30/04/2023","0.06811000","0.06827500","0.06865500","0.06792000","","-0.04%"
"23/04/2023","0.06814000","0.06713000","0.06835500","0.06695000","","1.19%"
"16/04/2023","0.06734000","0.06776500","0.06783000","0.06725500","","-0.97%"
"09/04/2023","0.06800000","0.06706500","0.06827500","0.06691500","","1.43%"
"02/04/2023","0.06704000","0.06666000","0.06720000","0.06660500","","0.55%"
"26/03/2023","0.06667000","0.06582500","0.06688500","0.06580500","","1.08%"
"19/03/2023","0.06596000","0.06507500","0.06602500","0.06501500","","1.26%"
"12/03/2023","0.06514000","0.06474000","0.06523000","0.06470000","","0.68%"
"05/03/2023","0.06470000","0.06529000","0.06542000","0.06459500","","-0.96%"
