"Date","Close","RSI rsi (14)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist"
"1/14/2024","35.5180","53.1271","-0.0745","0.0185","-0.0930"
"1/21/2024","35.6020","53.9110","-0.0319","0.0084","-0.0403"
"1/28/2024","35.5690","53.5322","-0.0007","0.0066","-0.0073"
"2/4/2024","35.9420","57.1932","0.0534","0.0160","0.0375"
"2/11/2024","36.0360","58.0893","0.1028","0.0333","0.0695"
"2/18/2024","35.9445","56.8419","0.1330","0.0533","0.0797"
"2/25/2024","35.8800","55.9302","0.1499","0.0726","0.0774"
"3/3/2024","35.4110","49.6889","0.1241","0.0829","0.0412"
"3/10/2024","35.9040","55.3316","0.1418","0.0947","0.0471"
"3/17/2024","36.3935","60.1148","0.1931","0.1144","0.0787"
"3/24/2024","36.3140","59.0096","0.2247","0.1364","0.0883"
"3/31/2024","36.6125","61.8460","0.2708","0.1633","0.1075"
"4/7/2024","36.6120","61.8383","0.3037","0.1914","0.1123"
"4/14/2024","36.8510","64.1420","0.3452","0.2221","0.1230"
"4/21/2024","37.0340","65.8424","0.3883","0.2554","0.1329"
"4/28/2024","36.8300","62.2961","0.4013","0.2846","0.1168"
"5/5/2024","36.7765","61.3627","0.4028","0.3082","0.0946"
"5/12/2024","36.1230","51.2592","0.3471","0.3160","0.0311"
"5/19/2024","36.6465","57.3214","0.3414","0.3211","0.0203"
"5/26/2024","36.8250","59.1855","0.3472","0.3263","0.0209"
"6/2/2024","36.7950","58.7213","0.3454","0.3301","0.0153"
"6/9/2024","36.6715","56.7481","0.3302","0.3301","0.0001"
"6/16/2024","36.7560","57.7931","0.3213","0.3284","-0.0071"
"6/23/2024","36.7360","57.4394","0.3091","0.3245","-0.0155"
"6/30/2024","36.4800","52.9699","0.2755","0.3147","-0.0392"
"7/7/2024","36.1250","47.4555","0.2178","0.2953","-0.0775"
"7/14/2024","36.3440","50.8545","0.1875","0.2738","-0.0862"
"7/21/2024","35.9350","44.9999","0.1291","0.2448","-0.1158"
"7/28/2024","35.2710","37.4599","0.0288","0.2016","-0.1728"
"8/4/2024","35.2470","37.2172","-0.0519","0.1509","-0.2029"
"8/11/2024","34.8240","33.1411","-0.1484","0.0911","-0.2394"
"8/18/2024","33.9425","26.6025","-0.2926","0.0143","-0.3069"
"8/25/2024","34.0130","27.8289","-0.3966","-0.0679","-0.3287"
"9/1/2024","33.5420","24.8424","-0.5111","-0.1565","-0.3546"
"9/8/2024","33.2250","23.0495","-0.6203","-0.2493","-0.3711"
"9/15/2024","33.0560","22.1324","-0.7123","-0.3419","-0.3704"
"9/22/2024","32.3390","18.7280","-0.8334","-0.4402","-0.3932"
"9/29/2024","33.3000","33.4941","-0.8422","-0.5206","-0.3216"
"10/6/2024","33.1760","32.6693","-0.8493","-0.5863","-0.2630"
"10/13/2024","33.1110","32.2214","-0.8504","-0.6392","-0.2113"
"10/20/2024","33.6715","39.8765","-0.7969","-0.6707","-0.1262"
"10/27/2024","33.9460","43.2566","-0.7240","-0.6814","-0.0426"
"11/3/2024","34.2110","46.3900","-0.6375","-0.6726","0.0351"
"11/10/2024","34.8070","52.7143","-0.5149","-0.6410","0.1262"
"11/17/2024","34.5345","49.8204","-0.4347","-0.5998","0.1651"
"11/24/2024","34.3030","47.4379","-0.3854","-0.5569","0.1715"
"12/1/2024","34.0270","44.6936","-0.3644","-0.5184","0.1540"
"12/8/2024","34.0980","45.5660","-0.3381","-0.4823","0.1442"
"12/15/2024","34.2800","47.8373","-0.2991","-0.4457","0.1466"
"12/22/2024","34.0500","45.2667","-0.2836","-0.4133","0.1297"
"12/29/2024","34.5460","51.3395","-0.2285","-0.3763","0.1478"
"1/5/2025","34.7440","53.5549","-0.1670","-0.3345","0.1674"
